Country Name,Series Name,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
China,GDP per capita (current US$),609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.969827,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7678.599432,8066.942424,8147.938148,8879.438149,9976.676822,10261.67913
China,GDP per capita growth (annual %),9.750279001,8.782184883,8.118548119,6.807806319,6.739270027,7.640001655,7.555801672,8.401915061,9.352364262,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.027255945,7.33538001,7.237862515,6.881995441,6.499316783,6.271729091,6.349909622,6.266041827,5.730120691
China,GDP growth (annual %),10.94922737,9.928372463,9.230769231,7.837613919,7.667486171,8.491508492,8.33991055,9.130645945,10.03560303,10.11122346,11.39577594,12.71947902,14.23138804,9.654289373,9.399813171,10.63614046,9.55091409,7.859627493,7.768615284,7.424523656,7.041856201,6.848728423,6.946200092,6.751614391,6.108560627
China,GDP (current US$),7.35E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13
European Union,GDP per capita (current US$),19464.22249,19749.95238,18087.09648,18613.61602,18475.65109,16908.72319,17183.62084,18680.55992,22920.89365,26262.06785,27330.99365,29068.60434,33549.52344,36912.06494,33359.78899,32931.63812,35716.27366,33158.79141,34564.11251,35243.20737,30473.74026,31162.69639,33029.98795,35659.75715,34843.29747
European Union,GDP per capita growth (annual %),2.470048269,1.728686685,2.509315059,2.881291418,2.791519386,3.779526293,2.054086672,0.891603689,0.569839168,2.219252585,1.569591327,3.160040515,2.808167614,0.323625447,-4.555728979,2.053126415,2.021803535,-0.888888046,-0.299994549,1.328646627,2.133925661,1.834164722,2.578133946,1.999004449,1.356286692
European Union,GDP growth (annual %),2.663768367,1.894220062,2.663283069,3.018888612,2.960945008,3.903711387,2.188867053,1.123080812,0.927880698,2.603221838,1.930367002,3.495419274,3.154082413,0.64584514,-4.329825861,2.195382128,1.840318337,-0.74295681,-0.057509658,1.582201447,2.356600385,2.050405064,2.726316805,2.146790898,1.522885916
European Union,GDP (current US$),8.30E+12,8.43E+12,7.73E+12,7.97E+12,7.92E+12,7.26E+12,7.39E+12,8.05E+12,9.91E+12,1.14E+13,1.19E+13,1.27E+13,1.47E+13,1.62E+13,1.47E+13,1.45E+13,1.57E+13,1.46E+13,1.53E+13,1.56E+13,1.35E+13,1.39E+13,1.47E+13,1.59E+13,1.56E+13
France,GDP per capita (current US$),26890.21988,26871.82902,24228.94235,24974.2722,24673.19897,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857
France,GDP per capita growth (annual %),1.738500356,1.054543233,1.974921246,3.207536715,2.890682266,3.214297711,1.244192104,0.402709914,0.11107373,2.075384202,0.899762891,1.737523985,1.792993386,-0.303770529,-3.37173719,1.44701286,1.69963012,-0.171212887,0.059905733,0.479080613,0.754024352,0.829056655,2.07682248,1.638526702,1.366344017
France,GDP growth (annual %),2.106695234,1.412993685,2.336296498,3.588659438,3.421373816,3.923669204,1.983721402,1.135531488,0.823160778,2.829752929,1.66322,2.449323601,2.424736238,0.254945946,-2.873313852,1.949437633,2.192700652,0.313134742,0.576326679,0.956183048,1.112912341,1.095464395,2.291419985,1.792863954,1.508594035
France,GDP (current US$),1.60E+12,1.61E+12,1.45E+12,1.50E+12,1.49E+12,1.36E+12,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.72E+12
Germany,GDP per capita (current US$),31658.34938,30485.86655,26964.04947,27289.05936,26725.91522,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44349.58966,47639.00344,46258.87829
Germany,GDP per capita growth (annual %),1.236820292,0.529524483,1.634823153,2.00359925,1.826122849,2.75592867,1.526794804,-0.36611274,-0.768486532,1.21188534,0.779058121,3.93175423,3.121878224,1.154421594,-5.457900872,4.338691916,5.868556631,0.231212503,0.154547998,1.800420038,0.862787538,1.408102174,2.082807721,1.222787233,0.289556721
Germany,GDP growth (annual %),1.534797475,0.820953826,1.783637238,2.019047489,1.891959008,2.895186947,1.697732361,-0.198459063,-0.713533477,1.1899149,0.721853765,3.814587905,2.984077273,0.962266442,-5.697151628,4.178969038,3.924133418,0.41955108,0.428243262,2.225688749,1.739749823,2.229999967,2.465030029,1.527446298,0.564174893
Germany,GDP (current US$),2.59E+12,2.50E+12,2.21E+12,2.24E+12,2.19E+12,1.94E+12,1.94E+12,2.07E+12,2.50E+12,2.81E+12,2.85E+12,2.99E+12,3.42E+12,3.73E+12,3.40E+12,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.67E+12,3.95E+12,3.85E+12
Italy,GDP per capita (current US$),20664.55227,23081.60468,21829.34582,22318.1373,21997.62432,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34520.08516,33189.5658
Italy,GDP per capita growth (annual %),2.88520233,1.23832837,1.776351224,1.781324374,1.608634731,3.739946533,1.894123995,0.104759514,-0.305508789,0.769317663,0.323656244,1.48515736,0.975922133,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.465690444,1.820333852,0.989882106,0.508128535
Italy,GDP growth (annual %),2.886836738,1.266784802,1.830212234,1.810615162,1.625727599,3.786955143,1.951371556,0.253942999,0.138626891,1.423594158,0.817848974,1.790639681,1.48707298,-0.962012841,-5.280937208,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.293462732,1.667859041,0.798119353,0.301256161
Italy,GDP (current US$),1.17E+12,1.31E+12,1.24E+12,1.27E+12,1.25E+12,1.14E+12,1.17E+12,1.27E+12,1.57E+12,1.80E+12,1.86E+12,1.95E+12,2.21E+12,2.40E+12,2.19E+12,2.13E+12,2.29E+12,2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.00E+12
Portugal,GDP per capita (current US$),11781.36185,12185.0914,11575.50711,12199.20639,12471.07936,11497.75346,11724.6115,12875.32079,15762.97579,18031.00042,18773.12536,19822.84603,22782.09462,24847.54514,23059.79745,22498.69086,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121,21490.42986,23461.57186,23145.04082
Portugal,GDP per capita growth (annual %),3.922373547,3.115806065,3.935798171,4.279611511,3.320508321,3.089053832,1.227263608,0.220542604,-1.301741478,1.545619593,0.59503861,1.441936091,2.305552455,0.174701188,-3.214390644,1.690928749,-1.551469281,-3.66753217,-0.377397357,1.337120205,2.214483696,2.341824053,3.759092337,2.801703497,2.307710485
Portugal,GDP growth (annual %),4.282780408,3.504247369,4.400867969,4.807963433,3.906576497,3.816177846,1.943672482,0.770924141,-0.930520582,1.788735171,0.781848108,1.625033854,2.506579989,0.319248559,-3.122080097,1.73762581,-1.696165744,-4.057294359,-0.922643787,0.792190538,1.792046853,2.01948623,3.506343238,2.637245523,2.164403593
Portugal,GDP (current US$),1.18E+11,1.23E+11,1.17E+11,1.24E+11,1.27E+11,1.18E+11,1.21E+11,1.34E+11,1.65E+11,1.89E+11,1.97E+11,2.09E+11,2.40E+11,2.62E+11,2.44E+11,2.38E+11,2.45E+11,2.16E+11,2.26E+11,2.30E+11,1.99E+11,2.06E+11,2.21E+11,2.41E+11,2.38E+11
Spain,GDP per capita (current US$),15471.96272,16109.0844,14730.79718,15394.35146,15715.33227,14713.06571,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.43457,30337.67913,29613.67114
Spain,GDP per capita growth (annual %),2.304957061,2.23381642,3.268852086,3.961902132,4.067824456,4.776451415,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.704522023,-0.709567924,-4.611871706,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451,2.94434856,2.650679339,1.903708385,1.374664109
Spain,GDP growth (annual %),2.757494039,2.660524453,3.702580285,4.393037351,4.490491316,5.24599468,3.932948843,2.731022232,2.981894836,3.122795242,3.652032674,4.102727115,3.604687971,0.887145182,-3.763231927,0.163010231,-0.814373455,-2.959441302,-1.435394259,1.383907943,3.83517266,3.03130133,2.891768107,2.351008131,1.979100561
Spain,GDP (current US$),6.15E+11,6.43E+11,5.90E+11,6.19E+11,6.35E+11,5.97E+11,6.27E+11,7.05E+11,9.05E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12
Switzerland,GDP per capita (current US$),48662.43977,46676.85094,40417.96228,41497.20261,40581.30705,37868.32306,38538.99005,41376.39399,48087.58314,53340.14766,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80172.23207,80449.99456,82818.10816,81993.72715
Switzerland,GDP per capita growth (annual %),-0.188350751,0.096985263,2.093918148,2.684326239,1.210872157,3.354383729,0.67337177,-0.592227667,-0.699890161,2.072135874,2.456798944,3.338088146,3.185584608,0.864917241,-3.436225944,1.935433928,0.568370352,-0.060803479,0.687571601,1.206825758,0.186394299,0.61793998,0.853880296,1.996439167,0.216690541
Switzerland,GDP growth (annual %),0.480866442,0.54002759,2.340149879,2.989891845,1.694719845,3.936823452,1.312423646,0.162612928,0.039576552,2.776223502,3.115245534,3.988634218,4.111877802,2.154701875,-2.22210711,3.002699098,1.692808496,1.006024094,1.852039766,2.449218087,1.333369082,1.722740656,1.799408986,2.750553714,0.92883244
Switzerland,GDP (current US$),3.43E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.53E+11,3.94E+11,4.09E+11,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11,7.05E+11,7.03E+11
United Kingdom,GDP per capita (current US$),23123.17779,24332.69777,26734.56261,28214.27436,28669.53969,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42300.26713
United Kingdom,GDP per capita growth (annual %),2.260783613,2.230894646,3.587692544,3.343265631,3.083961783,3.068548094,2.578699221,1.892089789,2.806551733,1.79315566,2.47371181,2.035550356,1.636058451,-1.062893134,-4.969350243,1.153474893,0.749697186,0.775734728,1.457701803,1.854584596,1.547697098,1.14866298,1.202194373,0.72852424,0.841074871
United Kingdom,GDP growth (annual %),2.531670028,2.491533163,3.854829952,3.644853405,3.42822335,3.437471622,2.97436368,2.324351102,3.286377571,2.373951441,3.179728924,2.788324559,2.430553212,-0.28115359,-4.247821747,1.949521482,1.540147368,1.478923947,2.139485701,2.607475906,2.355524306,1.918155106,1.892077038,1.340720577,1.408642101
United Kingdom,GDP (current US$),1.34E+12,1.42E+12,1.56E+12,1.65E+12,1.68E+12,1.66E+12,1.64E+12,1.78E+12,2.05E+12,2.42E+12,2.54E+12,2.71E+12,3.10E+12,2.92E+12,2.41E+12,2.48E+12,2.66E+12,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12,2.86E+12,2.83E+12
United States,GDP per capita (current US$),28690.8757,29967.71272,31459.139,32853.67698,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.96768,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66783,55047.72556,56822.51882,57927.51685,59957.72585,62840.02024,65118.35833
United States,GDP per capita growth (annual %),1.468787267,2.572195766,3.197252957,3.270524044,3.557193092,2.975208626,0.003648979,0.802103852,1.980925834,2.842680642,2.563502406,1.867955514,0.911865598,-1.076700087,-3.38743566,1.718201295,0.822277548,1.508614155,1.145053237,1.709321538,2.131959573,0.841916107,1.574043646,2.391096544,1.849711435
United States,GDP growth (annual %),2.684287132,3.772501319,4.447216343,4.481407555,4.753235989,4.127484014,0.998340795,1.74169525,2.861210767,3.798891127,3.513213797,2.854972292,1.876171458,-0.136579805,-2.536757066,2.563766559,1.550835506,2.249545852,1.842081071,2.451973035,2.880910466,1.56721517,2.21701033,2.927322728,2.333577492
United States,GDP (current US$),7.64E+12,8.07E+12,8.58E+12,9.06E+12,9.63E+12,1.03E+13,1.06E+13,1.09E+13,1.15E+13,1.22E+13,1.30E+13,1.38E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13
